title,artist,mood,lyrics
Take It Back,Logic,non-romance,"Take it back, take it way back Take it way, way back to the first black man Long ago before the white man Could paint the black man with a gun in his hand Take it back, take it way back Take it way, way back to the first white man At the very moment when they looked around and said ""Fuck it, I’ma steal this land"" Take it back, take it way back Take it way way back to the first black man Long ago before the white man Could paint the black man with a gun in his hand Take it back, take it way back Take it way, way back to the first white man At the very moment when they looked around and said ""Fuck it, I’ma steal this land""  Everybody wanna tell me what I am, what I am not ""You ain't black, you a mothafuckin' white boy Shut ya mouth, do it right boy, a'ight boy? Man, why you such a hype boy?"" ""Why you always talk about being black? Skin too white, nigga fuck that"" Everything you talk about, cut that That door you trying to open, you could shut that Grip the gat, yeah that’s how I’ma buck back Tell me what I am and what I know now All this prejudice has got to go Life is moving fast, it need to slow down Come and see me when I am in yo' town Practice what we preach before it go down Practice what we preach before it go Yes, I got the gift to gab fo sho Will I have to get the gat? No, no Yes, I got to gift to gab fo sho But will have to get the gat, get the gat, get the, get the? Masta deep down inside of me The plantation deep down inside of me Everybody fuck like sodomy 'Cause one or the other what it gotta be Tell me why my momma gotta lie to me Unity for everyone that lied to me Peace on Earth what I try to be I just wanna spread the message of equality And yes, I got to gift to gab fo sho Will I have to get the gat? No, no Yes, I got to gift to gab fo sho But will have to get the gat, get the gat, get the, get the gat? You might also like Take it back, take it way back Take it way, way back to the first black man Long ago before the white man Could paint the black man with a gun in his hand Take it back, take it way back Take it way, way back to the first white man At the very moment when they looked around and said ""Fuck it, I’ma steal this land"" Take it back, take it way back Take it way way back to the first black man Long ago before the white man Could paint the black man with a gun in his hand Take it back, take it way back Take it way way back to the first white man At the very moment when they looked around and said ""Fuck it, I’ma steal this land""   Take it back, take it way back Take it way, way back to about 1990 Shady Grove Hospital in Rockville, Maryland 7:36 a.m., where a biracial baby was born To a black father and a white mother Father that wasn’t there Addicted to crack cocaine, alcohol, and various other drugs Same as his mom  So I’m gonna tell you about that, right? And I’m gonna tell you about how All this young boy ever wanted was happiness All he ever wanted was positivity All he ever wanted to do was entertain And this boy went through hell You gotta understand, his mother was racist, which is crazy 'Cause how in the fuck is you gonna have All these black babies with black men but you racist Like bitch, that don’t make no sense, but it is what it is You know, he grew up, her callin' him a nigger The kids at school callin' him a cracker Identifying as black, looking as white Being told what you can or can’t be This kid went through everything He went through... He saw narcotics in the household Violence, murderers, drug dealers, he was kidnapped There was crazy shit that happened to this kid And he persevered while the whole world said What they said? Said you wouldn’t be shit! You ain’t gon' be nothin', nothin', nothin', nothin' Nothin', nothin', nothin', nothin', nothin', nothin', nothing And I, and he, he said fuck that, I’ma persevere And that’s why the message is always peace, love and positivity See, he always saw things from two sides He always saw things from two sides He always knew that the message Everybody was born equal Regardless of race, religion, color, creed, and sexual orientation He knew that because he saw that (Take it back, take it way back Take it way) Because he was stripped and torn down By his black brothers and sisters that were uneducated And that did not know And he was stripped and he was torn down By his white side that did not know These people that are ignorant That cannot see the bigger picture That must fight and kill and murder each other But once again, all he ever wanted to do Was spread a message of equality For every man, woman, and child Regardless of race, religion, color, creed, and sexual orientation (Take it back, take it way back Take it way, way back to the first) Now imagine this child growing up And seeing the craziest shit Being a part of the craziest shit Running around with the wrong people Running around with guns and knives And fighting and stealing and, and all this Because he didn’t know, he didn’t know! But he knew deep down in his heart that it wasn’t right And he knew that he needed to get away from it Now I want you to also imagine, that at 17 years old This child, okay, leaves home and gets two jobs to support himself Two jobs that he works in the morning and the evenings And then he would then come home To about eight or nine hours of sleep But spend four, five, six hours of that Working on music, persevering Grabbing the remote control and looking in the mirror And pretending to see thousands and thousands and thousands of people Just chanting his name Hoping that it would happen But the, but the, but the world said no! Mothafucka, little mothafucka no-no, no-no, no-no, no-no Ya nigga, ya cracka, ya white boy, ya black mothafucka No-no! (Take it back, take it way back Take it way, way back to the first) And he said fuck that He said peace, love, and positivity He said equality for all man Regardless of race, religion, color, creed, and sexual orientation, yeah Now I want you to also imagine People telling him that he did not live this life “You just a white boy You ain’t never experienced that shit You from Gaithersburg, Maryland, nothing happens there Oh no, no, we know, we weren’t there We didn’t live with you, we didn't live in your Section 8 household We didn’t live with the narcotics and violence in your household We just saw it from the outside, outside, outside, outside Outside, outside, outside, outside And since you white, you gotta have money, right?” (Take it back, take it way back Take it way, way back to the first black man) And this young man persevered in spite Of what people told him he was, wasn’t, and would never be (Take it back, take it way back Take it way, way back to the first black) And that man is here today, proud A lover of all human beings Regardless of race, religion, color, creed, sexual orientation, yeah, yeah And he’s here to say: Even though we’re all born and created equal We are not treated equally There’s extremists on every side And you should just do your best to live life And let other people believe whatever they wanna believe As long as they’re not hurtin' anybody You can believe they’re going to hell You can believe it’s not right You can believe you’re superior, fine Just stop killing each other59Embed"
Legend,The Score,non-romance,"Nah, nah, nah, nah, nah, nah, nah Nah, nah, nah, nah, nah, nah nah Nah, nah, nah, nah, nah, nah, nah Nah, nah, nah, nah   Here we go, here we go It's about time that we set it off Here we go, here we go Red lights, I could never stop  A dreamer with the fever to be great was all I ever want, was all I ever wanted A finder with the fever for the fame was all I ever want, was all I ever wanted   Got me singin' like Bang, bang Bang, bang Bang, bang This fire's a weapon Bang, bang Bang, bang Bang, bang Won't stop till we're legends   Nah, nah, nah, nah, nah, nah, nah Nah, nah, nah, nah, nah, nah nah Nah, nah, nah, nah, nah, nah, nah Nah, nah, nah, nah Won't stop till we're legends   Here we go, here we go It's my turn to make history Here we go, here we go When I'm gone they'll remember me, yeah You might also like A dreamer with the fever to be great was all I ever want, was all I ever wanted A finder with the fever for the fame was all I ever want, was all I ever wanted   Got me singin' like Bang, bang Bang, bang Bang, bang This fire's a weapon Bang, bang Bang, bang Bang, bang Won't stop till we're legends   Nah, nah, nah, nah, nah, nah, nah Nah, nah, nah, nah, nah, nah nah Nah, nah, nah, nah, nah, nah, nah Nah, nah, nah, nah Won't stop till we're legends Nah, nah, nah, nah, nah, nah, nah Nah, nah, nah, nah, nah, nah nah Nah, nah, nah, nah, nah, nah, nah Nah, nah, nah, nah Won't stop till we're legends  Blood, sweat, I'll break my bones Till all my scars bleed gold and My name's forever known Woah-oh, woah-oh Blood, sweat, I'll break my bones Till all my scars bleed golden My name's forever known Woah-oh, woah-oh Blood, sweat, I'll break my bones  Till all my scars bleed gold and My name's forever known  Woah-oh, woah-oh Bang, bang, won't stop till we're legends   Nah, nah, nah, nah, nah, nah, nah Nah, nah, nah, nah, nah, nah nah Nah, nah, nah, nah, nah, nah, nah Nah, nah, nah, nah Won't stop till we're legends Nah, nah, nah, nah, nah, nah, nah Nah, nah, nah, nah, nah, nah nah Nah, nah, nah, nah, nah, nah, nah Nah, nah, nah, nah15Embed"
Miracle,The Score,non-romance,"It's not just a phase, now let me explain I'm working through some shit, sometimes I'm medicated It's hard to relay the thoughts in my brain I'm working for a life that's not domesticated   It never goes the way that you planned Success is a door that always slams I'm trying to break it I'm trying to break it Searching for words and praying for signs I struggle to find the rhythm and rhyme Don't know how to say it Don't know how to say it  That I'm losing my mind Trying to find the perfect line I think I'm running out of time I need a mira-miracle, a mira-miracle Yeah I'm losing my mind Counting seconds passing by And I don't know when I'll be fine I need a mira-miracle, a mira-miracle A miracle   It's not just a show, I need you to know I'm trying to keep it real, sometimes it's complicated This battle for gold is killing my soul It's hard to be yourself when all you feel is jaded   Shit never goes the way that you planned Success is a door that always slams I'm trying to break it I'm trying to break it Searching for words, and praying for signs I struggle to find the rhythm and rhyme Don't know how to say it Don't know how to say it You might also like That I'm losing my mind Trying to find the perfect line I think I'm running out of time I need a mira-miracle, a mira-miracle Yeah I'm losing my mind Counting seconds passing by And I don't know when I'll be fine I need a mira-miracle, a mira-miracle A miracle   I need a mira-miracle, a mira-miracle It never goes the way that you planned Success is a door that always slams I'm trying to break it I'm trying to break it Searching for words, and praying for signs I struggle to find the rhythm and rhyme Don't know how to say it Don't know how to say I'm minutes away from going insane   Cause I'm losing my mind Trying to find the perfect line I think I'm running out of time I need a mira-miracle, a mira-miracle Yeah I'm losing my mind Counting seconds passing by And I don't know when I'll be fine I need a mira-miracle, a mira-miracle A miracle  I need a miracle I need a mira-miracle, a mira-miracle A miracle8Embed"
Shakedown,The Score,non-romance,"Sh-sh-shakedown It's the start of something great now Here comes the shakedown   I've had this image in my head Since I was just a little kid lost in daydreams Rusting out from all the sweat But I can see myself for the first time so clearly  Oh, I feel it Oh, break through the ceiling Oh, I need it I won't stop 'cause I remember that feeling   All those nights alone I faced my fears in the mirror I found my way to show Who I am, won't disappear The scars from the fights that came through the years Are constant reminders of what got me here All those nights alone They were the start of something great now Here comes the shakedown   Sh-sh-shakedown It's the start of something great now Here comes the shakedown   It's hard to count the times I bled I never told myself that greatness comes easy Others break, but I won't bend It took the pain I see for the first time so clearly You might also like Oh, I feel it Oh, break through the ceiling Oh, I need it I won't stop 'cause I remember that feeling   All those nights alone I faced my fears in the mirror I found my way to show Who I am, won't disappear The scars from the fights that came through the years Are constant reminders of what got me here All those nights alone They were the start of something great now Here comes the shakedown   Sh-sh-shakedown It's the start of something great now Here comes the shakedown Sh-sh-shakedown It's the start of something great now Here comes the shakedown   Sometimes we fall, sometimes we break Sometimes we're lost in all our mistakes  All those nights alone I faced my fears in the mirror I found my way to show Who I am, won't disappear The scars from the fights that came through the years Are constant reminders of what got me here All those nights alone They were the start of something great now Here comes the shakedown   Sh-sh-shakedown It's the start of something great now Here comes the shakedown Sh-sh-shakedown It's the start of something great now Here comes the shakedown6Embed"
We're Alright,R5,non-romance,"Na, na, na, na, na, na Na, na, na, na   Been living in outer space On permanent holiday, we Got wild with Tina Fey Thought I was McConaughey Shot fireworks on the roof Caught fire, jumped in the pool, on A Saturday afternoon Sorority honeymoon  Yeah, young and hopeless Yeah, oh, we know this   We're alright We're alright We're alright We're alright   Na, na, na, na, na, na Na, na, na, na   We take it a bit too far Joy riding in rich girls' cars, we Crashed somewhere in central park Long island lucky charms Crash parties on private planes Turn up and then gypsy fake  Yeah maybe we seem insane Reckless in the USA   Yeah, young and hopeless Yeah, oh, we know this You might also like We're alright We're alright We're alright We're alright   No, we're not gonna ever change Reckless in the USA No, we're not gonna ever change Reckless in the USA   We're alright  We're alright  We're alright  We're alright    No, we're not gonna ever change Reckless in the USA No, we're not gonna ever change Reckless in the USA   Hey! Ha, ha, ha!Embed"
Immortals,Fall Out Boy,non-romance,"They say we are what we are, but we don’t have to be I’m bad behavior but I do it in the best way I’ll be the watcher  of the eternal flame I’ll be the guard dog of all your fever dreams   Oh, I am the sand in the bottom half of the hourglass, glass, glass Oh, I try to picture me without you, but I can’t   'Cause we could be immortals, immortals Just not for long, for long And live with me forever now, pull the blackout curtains down Just not for long, for long  We could be immor—immortals, immor—immortals Immor—immortals, immor—immortals, immortals   Sometimes the only payoff for having any faith Is when it’s tested again and again every day I’m still comparing your past to my future It might be your wound, but they’re my sutures   Oh, I am the sand in the bottom half of the hourglass, glass, glass Oh, I try to picture me without you, but I can’t   Cause we could be immortals, immortals Just not for long, for long And live with me forever now, pull the blackout curtains down Just not for long, for long   We could be immor—immortals, immor—immortals, immortals   And live with me forever now Pull the blackout curtains down You might also like We could be immortals, immortals Just not for long, for long   We could be immor—immortals, immor—immortals Immor—immortals, immor—immortals, immortals93Embed"
Secret For The Mad,dodie,non-romance,"I've got a secret for the mad In a little bit of time it won't hurt so bad And I get that I don't get it But you will burn right now, but then you won't regret it You're not gonna believe a word I say What's the point in just drowning another day And I get that I don't get it But the world will show you that you won't regret it   Little things, all the stereotypes They're gonna help you get through this one night And there will be a day When you can say you're okay and mean it  I promise you it'll all make sense again I promise you it'll all make sense again   There's nothing to do right now, but try There are a hundred people who will listen to you cry And I get that they don't get it But they love you so much that you won't regret it You're at the bottom, this is it Just get through, you will be fixed And you think that I don't get it But I burned my way through and I don't regret it   Little things, all the stereotypes They're gonna help you get through this one night And there will be a day When you can say you're okay and mean it   I promise you it'll all make sense again I promise you it'll all make sense again I promise you it'll all make sense again I promise you it'll all make sense againYou might also like10Embed"
The Currents,Bastille,non-romance,"Roll up another cigarette Using the minute that it takes To think about the power of your words We're living in the currents you create We're sinking in the pool of your mistakes So stub it out, your podium awaits   Oh my God, my God I can't quite believe my ears  I'm swimming to the surface I'm coming up for air Cause you're making me feel nervous I need to clear my head I can't believe my ears I don't wanna believe my ears I'm swimming to the surface I'm coming up for air   How can you think you're serious? Do you even know what year it is? I can't believe the scary points you make Still living in the currents you create Still sinking in the pool of your mistakes Won't you stop firing up the crazies?   Oh my God, my God I can't quite believe my ears   I'm swimming to the surface I'm coming up for air Cause you're making me feel nervous I need to clear my head I can't believe my ears I don't wanna believe my ears I'm swimming to the surface I'm coming up for air You might also like ""When anybody preaches disunity, tries to pit one of us against the other ... you know that person seeks to rob us of our freedom and destroy our very lives""   Oh, I need a breath I need a breath Fill my lungs Won't you fill my lungs? Oh, I need a breath I need a breath Fill my lungs Let me fill my lungs Oh, I need a breath I need a breath Fill my lungs Let me fill my lungs Oh, I need a breath I need a breath Fill my lungs Let me fill my lungs   I'm swimming to the surface I'm coming up for air Cause you're making me feel nervous I need to clear my head I can't believe my ears I don't wanna believe my ears I'm swimming to the surface I'm coming up for air77Embed"
6/10,dodie,non-romance,"I feel like a six out of ten I've gotta get up early tomorrow again   What goes on behind the words? Is there pity for the plain girl?   Can you see the panic inside? I'm making you uneasy, aren't I?  What goes on behind the words? Is there pity for the plain girl? I'll close my mouth, I won't say a word A nod of pity for the plain girl   I know that you don't want me here I know that you don't want me here I know that you don't want me here I know that you don't want me here I know that you don't want me here Oh I'll just call a taxi  I gotta get up early tomorrow again  Oh I'll just call a taxi  I gotta get up early tomorrow again    What goes on behind the words?   Is there pity for the plain girl?   I'll close my mouth, I won't say a word   A nod of pity for the plain girlYou might also like20Embed"
Campus,Bastille,non-romance,"Just another brain on the campus Just another man in the field Just another tall pile of papers Making it crowded in here Someone else's work in your thesis Someone else's words in your mouth Someone else's hard work and research Taking you up in the world   Oh, never leave me out I'm standing by the sidelines Oh, never leave me out I'm standing by  I watch it all from afar Heaven, help me I watch it all fall apart Heaven, help me Help me, help me, help me, help me I watch it all from afar Heaven, help me   Just another brain on the campus Just another set of ideas Just another theory in motion Waiting there for you to steal It must be so lonely, knowing what you know Man, it must be lonely, keeping it on the low   Oh, never leave me out I'm standing by the sidelines Oh, never leave me out I'm standing by   I watch it all from afar Heaven, help me I watch it all fall apart Heaven help me Help me, help me, help me, help me I watch it all from afar Heaven, help me You might also like I watch it all from afar Heaven, help me I watch it all fall apart Heaven, help me Help me, help me, help me, help me I watch it all fall apart Heaven, help me75Embed"
Four Walls (The Ballad Of Perry Smith),Bastille,non-romance,"These four walls to keep you One floor to sleep upon and only These four walls to keep you These four walls contain you Supposed to save you from yourself and These four walls in Holcomb To keep you from the sun   And now we're faced with two wrongs Now we're faced with two wrongs I don't know, oh, I don't know Now we're faced with two wrongs Now we're faced with two wrongs I don't know, oh, I don't know  We could be born to anything And now what, now what? What you have done is terrible And now you, and now you Now, you carry it with you You carry it with you You carry it with you   These four walls will keep you Until you face the rope You've only these four walls before they In cold blood, hang you up   And now we're faced with two wrongs Now we're faced with two wrongs I don't know, oh, I don't know Now we're faced with two wrongs Now we're faced with two wrongs I don't know, oh, I don't know   We could be born to anything And now what, now what? What you have done is terrible And now you, and now you Now, you carry it with you You carry it with you You carry it with you    You might also like There's no view from here No view from here, no view from here All you see's the sky Clouds passing by, clouds passing by   We could be born to anything And now what, now what? What you have done is terrible And now what, and now what? Now, you carry it with you You carry it with you You carry it with you Now, you carry it with you You carry it with you You carry it with you   Now, you carry it with you You carry it with you You carry it with you     This is a collect call from Kansas State Penitentiary: ""Being brought up one way and trying to see another way is very difficult""64Embed"
Blame,Bastille,non-romance,"You go sleep with the fishes There’s no room for you here There’s no room for you here Wrap your teeth around the pavement 'Cause your body’s a message Send my regards to hell   Fall upon your knees, sing: ""This is my body and soul here"" Crawl and beg and plead, sing: ""You’ve got the power to control"" Don’t pin it all on me Don’t pin it all on me!  You’ve been granted three wishes Say goodbye to your mother, your father, your son I can hear your pulse racing from here Sitting next to this gun beats your heart in your mouth   Fall upon your knees, sing: ""This is my body and soul here"" Crawl and beg and plead, sing: ""You’ve got the power to control"" Don’t pin it all on me Don’t pin it all on me!   Blame, blame, blame  Blame, blame, blame  Blame, blame, blame  Blame, blame, blame    Fall upon your knees, sing: ""This is my body and soul here"" Crawl and beg and plead, sing: ""You’ve got the power to control here This is my body and this is my soul!” Fall upon your knees, sing: “This is my body and soul Don’t pin it all on me Don’t pin it all on me!"" You might also like Don’t pin it all on me Don’t pin it all on me101Embed"
Snakes,Bastille,non-romance,"Ooh, I'm not ready Ooh, I'm not ready Ooh, I'm not ready Ooh, I'm not ready   Snakes are biting at my heels The worries that refuse to let us go I’ve been kicking them away And hoping not to let them take control  Ooh, I’m not ready Drink to escape their bites Show me distraction Even for just one night   'Cause it's easier to bury My head in the sand sometimes Yes, it's easier to bury My head in the sand sometimes And I know, I know, I know It's not the right way to go But I pray for the ground to swallow me who-ole Ooh, I'm not ready Ooh, I'm not ready   Now these days are feeling dark We're struggling to figure out last year When the woman on the news Keeps saying things that no one wants to hear   Ooh, I’m not ready Drink to escape our minds Show me distraction Even for just one night You might also like 'Cause it's easier to bury My head in the sand sometimes Yes, it's easier to bury My head in the sand sometimes And I know, I know, I know It's not the right way to go But I pray for the ground to swallow me who-ole Yes, I pray for the ground to swallow me who-o-ole Ooh, I'm not ready Ooh, I'm not ready   ""Come on, boys. Let's go tear this place apart! ""   'Cause I know life is simple when I can just ignore it all 'Cause I know, 'cause I know, 'cause I know Life is simple when I can just ignore it all 'Cause I know, 'cause I know, 'cause I know   If I’m not ready  Snakes will consume me whole  If I'm not steady  Maybe they'll take control   But it's easier to bury My head in the sand sometimes Yes, it's easier to bury My head in the sand sometimes I know, I know, I know It's not the right way to go But I pray for the ground to swallow me who-ole Yes, I know, I know, I know It's not the right way to go But I pray for the ground to swallow me who-o-ole99Embed"
Party Tattoos,dodie,non-romance,"Take a look at the clock Only so long to go Scrubbing smooth young skin Saying ""I don't know"" Grab a bag, grab a bottle but leave the what if; You'll see it in the morning after your kicks   All you will need for a rocking good time Is a bunch of people who don't give a damn There's a yes, in your head, gotta find where it's at You'll lose it in the morning but ignore that  We're not bruised They're just party tattoos And that colourful mess Is just colourful regret Black lipstick will never be a sin We'll regret it when we're old with wrinkled up skin We'll regret it when we're old with wrinkled up skin Regret it when we're old with wrinkled up skin    My mummy said to always wear a coat But it's warm and it's heavy and we're trying to float Don't forget, she'll be right when it's 3 a.m So shiver, but shiver with a friend   We're not bruised They're just party tattoos And that colourful mess Is just colourful regret Black lipstick will never be a sin We'll regret it when we're old with wrinkled up skin   We're not bruised They're just party tattoos And that colourful mess Is just colourful regret Black lipstick will never be a sin We'll regret it when we're old with wrinkled up skin We'll regret it when we're old with wrinkled up skin Regret it when we're old with wrinkled up skin You might also like Write a postcard to you at 84 Tell her you'd never dream of living behind a door Life was fun, full of love, full of hopeful smiles Bet you wish you were here, but I'll see you in a while   We're not bruised They're just party tattoos And that colourful mess Is just colourful regret Black lipstick will never be a sin We'll regret it when we're old with wrinkled up skin   We're not bruised They're just party tattoos And that colourful mess Is just colourful regret Black lipstick will never be a sin We'll regret it when we're old with wrinkled up skin We'll regret it when we're old with wrinkled up skin Regret it when we're old with wrinkled up skin6Embed"
High Hopes,Panic! At The Disco,non-romance,none
Let's Get It Started - Spike Mix,Black Eyed Peas,non-romance,"& Both]  And the bass keeps runnin', runnin' and runnin', runnin' And runnin', runnin' and runnin', runnin' and runnin', runnin' And runnin', runnin' and runnin', runnin, and runnin', runnin' And   In this context, there's no disrespect So when I bust my rhyme, you break ya necks We got five minutes for us to disconnect From all intellect, collect the rhythm effect To lose your inhibition follow your intuition Free your inner soul and break away from tradition 'Cause when we be out, girlies pull they weave out You wouldn't believe how, we wow shit out Burn it 'til it's burned out, turn it 'til it's turned out Act up from north, wеst, east, south  Everybody , еverybody  Just get into it , get stupid  Get it started,  get it started , get it started   Let's get it started , let's get it started  Let's get it started , let's get it started  Let's get it started , let's get it started  Let's get it started , let's get it started  Yeah   Lose control, of body and soul Don't move too fast, people, just take it slow Don't get ahead, just jump into it Y'all hear about it, the Peas will do it Get started, get stupid Don't worry about it, people will walk you through it Step by step like an infant new kid Inch by inch with the new solution Transmit hits with no delusion The feeling's irresistible and that's how we movin'   Everybody , everybody  Just get into it , get stupid  Get it started,  get it started , get it started You might also like Let's get it started , let's get it started  Let's get it started , let's get it started  Let's get it started , let's get it started  Let's get it started , let's get it started  Yeah  ] And the bass keeps runnin', runnin' and runnin', runnin' and runnin', runnin' C'mon y'all, let's get , uh-huh, let's get  in here Wild out, get , uh-huh, let's get  in here Wild out, get , uh-huh, let's get  in here Ohh-ohh-ohh (Ya-ya-ya-ya-ya-ya-ya Ya-ya-ya-ya, ya-ya-ya-ya-ya!)  ] Let's get ill, that's the deal At the gate, and Will bring the bugged out drill  Lose your mind, this is the time Y'all can't stand still, twist and bang your spine  Bob your head like me, apl.de Up inside the club or in your Bentley Get messy, loud and sick Y'all mind pass normal on another head trip So, come them now, do not correct it Let's get ignant, let's get hectic  Everybody , everybody  Just get into it , get stupid  Get it started,  get it started , get it started   Let's get it started , let's get it started  Let's get it started , let's get it started  Let's get it started , let's get it started  Let's get it started , let's get it started  Yeah  ] Whoa, whoa, whoa Get , uh huh, we  in here Let's get , uh-huh, we  in here Wild out, get , uh-huh, we  in here Ohh ohh ohh (Ya-ya-ya-ya-ya-ya-ya Ya-ya-ya-ya, ya-ya-ya-ya-ya!)   And runnin', runnin' and runnin', runnin' and runnin', runnin' And runnin', runnin' and runnin'Embed"
One of the Drunks,Panic! At The Disco,non-romance,"Welcome to the club Welcome to the   Orange juice, pour out half the carton Grey Goose, pour it, get it started Good times, remedy your sorrows Baptize, don't worry 'bout tomorrow Shake it up, shake it up, now it's time to dive in Share a cup, share a cup, now you're screwdrivin'  Every weekend with your friends, every weekday when it ends Damn it's all good, I guess   This is what it feels like when you become one of the drunks This is what it feels like when you become one of the drunks Searching for a new high, high as the sun, uncomfortably numb This is what it feels like when you become one of the drunks   Welcome to the club Welcome to the club Welcome to the   Never dry, every day you're thirsty Bourbon high, sip it 'til you're tipsy Night's young, searching for a feeling Big fun, dancing with the demons Holy Spirit, Holy Spirit, grips you like a pistol Wet the whistle, wet the whistle, abyss of ice crystals   Every weekend with your friends, every weekday when it ends Damn it's all good, I guess You might also like This is what it feels like when you become one of the drunks This is what it feels like when you become one of the drunks Searching for a new high, high as the sun, uncomfortably numb This is what it feels like when you become one of the drunks   Welcome to the club Round and round and round And round and round and round Damn it's all good Round and round and round And round and round and round Damn it's all good, I guess   This is what it feels like when you become one of the drunks This is what it feels like when you become one of the drunks Searching for a new high, high as the sun, uncomfortably numb This is what it feels like when you become one of the drunks   Welcome to the club Welcome to the club Welcome to the club This is what it feels like when you become one of the drunks Welcome to the club Welcome to the club  Yeah, there's a couple fracks, but we got it. That's the shit, that's the shit, and, man, I saw you fuckin' lift that sax up towards the microphone and I fell in love! K, alright, one more time, here we go20Embed"
King of the Clouds,Panic! At The Disco,non-romance,"Heaven knows that I'm born too late For these ghosts that I chase With these dreams, I inflate, painted skies in my brain Every day, I'm Carl Sagan in space To escape this old world, this old world Some days I lie wide awake 'til the sun hits my face And I fade, elevate from the Earth Far away to a place where I'm free from the weight This old world, this old world  I don't trust anything Or anyone, below the sun And I don't feel anything At all   I'm king of the clouds, of the clouds I get lifted, I get lifted King of the clouds, of the clouds I get lifted, I get lifted   Some only live to die, I'm alive to fly higher Than angels in outfields inside of my mind I'm ascendin' these ladders, I'm climbin', say goodbye This old world, this old world And when I fall to rise with stardust in my eyes In the backbone of night, I'm combustible Dust in the fire when I can't sleep a wink, I'm too tired This old world, this old world   I don't trust anything Or anyone, below the sun I don't feel anything At all You might also like I'm king of the clouds, of the clouds I get lifted, I get lifted King of the clouds, of the clouds I get lifted, I get lifted Imagination, take me somewhere I don't know I'm lost but I better find it alone King of the clouds, of the clouds I get lifted, I get lifted   I keep searching Oh, I keep searching I keep searching55Embed"
Myself,Bazzi,non-romance,"I think I'm losing my mind Trying to stay inside the lines It's like I'm running in place How you keep staying the same? Baby, I, I guess I'm something different And I'm okay with that I can't fake no more smiles That shit gon' drive me mad I'm focused on the future Don't care 'bout nothin' else  I'm better by myself I'm better by myself I don't need no one else I'm better by myself Myself   Don't wanna answer questions Just want your company It's all good on the surface Show me what's underneath I'm not concerned with drama I left that shit in school I'm more concerned with commas Than keeping up with you Keep that away from me I put the Heisman up to bad energy No empathy, especially when the kid off Hennessy Fake friends to me make my mood go south like Tennessee Make the fool come out like, ""Who is he?"" I mean, I'm trying to tell y'all   I'm better by myself I'm better by myself I don't need no one else I'm better by myself Myself You might also like I don't know who to trust These days everyone's shady Fool me once, I'm on my own There is no second time, baby That's the shit I don't like Please no yes, no maybes What else?25Embed"
The Greatest Show,Panic! At The Disco,non-romance," Ladies and gents, this is the moment you've waited for  You’ve been searchin' in the dark Your sweat soakin' through the floor  And buried in your bones, there’s an ache that you can't ignore Takin' your breath, stealing your mind And all that was real is left behind   Don't fight it, it's comin' for you, runnin' at ya It's only this moment, don’t care what comes after Your fever dream, can’t you see it gettin' closer? Just surrender ’cause you feel the feelin' takin' over It's fire, it’s freedom, it's floodin' open It's the preacher in the pulpit and your blind devotion There's somethin' breakin' at the brick of every wall It's holdin' all that you know, so tell me do you wanna go?  Where it's covered in all the colored lights Where the runaways are runnin' the night Impossible comes true, it's takin' over you Oh, this is the greatest show We light it up, we won't come down And the sun can't stop us now Watchin' it come true, it's takin' over you Oh, this is the greatest show    Colossal we come these renegades in the ring  Where the lost get found, and we crown 'em the circus kings   Don't fight it, it's comin' for you, runnin' at ya It's only this moment, don't care what comes after It's blindin', outshinin' anything that you know Just surrender 'cause you're callin' and you wanna go   Where it's covered in all the colored lights Where the runaways are runnin' the night Impossible comes true, intoxicating you Oh, this is the greatest show We light it up, we won't come down And the sun can't stop us now Watchin' it come true, it's takin' over you Oh, this is the greatest show You might also like Where it's covered in all the colored lights Where the runaways are runnin' the night Impossible comes true, it's takin' over you Oh, this is the greatest show We light it up, we won't come down And the walls can't stop us now Watchin' it come true, it's takin' over you Oh, this is the greatest show Oh, this is the greatest show Oh, this is the greatest show Oh, this is the greatest show Oh, this is the greatest show4Embed"
Haircut,Ryan Beatty,non-romance,"Wake me up when the days are over Reminiscent of a life I had I smile on and feel the closure I finally feel like me again Sacrifice the sweet attention You have to give before you get Another lie, another lie I'll get it right   It starts right now Now It starts right now Right now Oh I could never ever, ever, ever lose it, no It's all I ever, ever, ever, ever wanted, oh woah  Controlled myself, realized I couldn't Too special to stay on the track They look the same I tried to fake it But it left a bad taste in my mouth I know I sound better when I'm nervous  Well, honestly I can't complain  I'm feeling like, I really can, oh yes I can   It starts right now Now It starts right now Right now Oh I could never ever, ever, ever lose it, no It's all I ever, ever, ever, ever wanted, oh woah   Run home Get back to where you came from Don't be so afraid, no This is what you're made for  Run home  Get back to where you came from  Don't be so afraid, no   This is what you're made for You might also like4Embed"
